sentence,tokens,labels
two idli no salt,"['two', 'idli', 'no', 'salt']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get one plate pongal with extra ghee,"['get', 'one', 'plate', 'pongal', 'with', 'extra', 'ghee']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring three vadais with no spice,"['bring', 'three', 'vadais', 'with', 'no', 'spice']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
can I get two dosa with less oil,"['can', 'I', 'get', 'two', 'dosa', 'with', 'less', 'oil']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one plate pongal with extra chutney,"['one', 'plate', 'pongal', 'with', 'extra', 'chutney']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
just idli with no onion,"['just', 'idli', 'with', 'no', 'onion']","['O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send three masala dosa extra ghee,"['send', 'three', 'masala', 'dosa', 'extra', 'ghee']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring two idlis with less spice,"['bring', 'two', 'idlis', 'with', 'less', 'spice']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
I need vada with extra sambar,"['I', 'need', 'vada', 'with', 'extra', 'sambar']","['O', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order three plates of pongal no oil,"['order', 'three', 'plates', 'of', 'pongal', 'no', 'oil']","['O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me one idli without onion,"['give', 'me', 'one', 'idli', 'without', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send two poori extra crispy,"['please', 'send', 'two', 'poori', 'extra', 'crispy']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need one idli with more sambar,"['need', 'one', 'idli', 'with', 'more', 'sambar']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give two dosa without ghee,"['give', 'two', 'dosa', 'without', 'ghee']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order three vada with extra spice,"['order', 'three', 'vada', 'with', 'extra', 'spice']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get one plate idli no onion,"['get', 'one', 'plate', 'idli', 'no', 'onion']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send four idlis extra chutney,"['send', 'four', 'idlis', 'extra', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me masala dosa with no oil,"['give', 'me', 'masala', 'dosa', 'with', 'no', 'oil']","['O', 'O', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one vada extra crispy,"['order', 'one', 'vada', 'extra', 'crispy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want idli with less ghee,"['want', 'idli', 'with', 'less', 'ghee']","['O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one plate poori no oil,"['one', 'plate', 'poori', 'no', 'oil']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send me two vada with extra chutney,"['send', 'me', 'two', 'vada', 'with', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
I need three idlis no onion,"['I', 'need', 'three', 'idlis', 'no', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one pongal extra spice,"['order', 'one', 'pongal', 'extra', 'spice']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
add less oil to my dosa,"['add', 'less', 'oil', 'to', 'my', 'dosa']","['O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'O', 'B-FOOD']"
give four idlis without ghee,"['give', 'four', 'idlis', 'without', 'ghee']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send me three plates of vada with extra chutney,"['send', 'me', 'three', 'plates', 'of', 'vada', 'with', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get idli with no onion,"['get', 'idli', 'with', 'no', 'onion']","['O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring one poori extra crispy,"['bring', 'one', 'poori', 'extra', 'crispy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send two plates pongal no ghee,"['send', 'two', 'plates', 'pongal', 'no', 'ghee']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
add extra chutney to vada,"['add', 'extra', 'chutney', 'to', 'vada']","['O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-FOOD']"
I want masala dosa with extra butter,"['I', 'want', 'masala', 'dosa', 'with', 'extra', 'butter']","['O', 'O', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order four poori without spice,"['order', 'four', 'poori', 'without', 'spice']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send three idlis with no salt,"['send', 'three', 'idlis', 'with', 'no', 'salt']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one plate vada extra chutney,"['one', 'plate', 'vada', 'extra', 'chutney']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get two masala dosa less oil,"['get', 'two', 'masala', 'dosa', 'less', 'oil']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring idli no onion,"['bring', 'idli', 'no', 'onion']","['O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one plate pongal extra ghee,"['order', 'one', 'plate', 'pongal', 'extra', 'ghee']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send me three poori extra crispy,"['send', 'me', 'three', 'poori', 'extra', 'crispy']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give two vada without oil,"['give', 'two', 'vada', 'without', 'oil']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 2 idly with extra chutni,"['order', '2', 'idly', 'with', 'extra', 'chutni']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plz send 1 masala dosa no ghee,"['plz', 'send', '1', 'masala', 'dosa', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want 3 pooriis less oil pls,"['want', '3', 'pooriis', 'less', 'oil', 'pls']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O']"
can i have extra chutney and 2 idlis,"['can', 'i', 'have', 'extra', 'chutney', 'and', '2', 'idlis']","['O', 'O', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-QUANTITY', 'B-FOOD']"
send me one plate of masala dosaa,"['send', 'me', 'one', 'plate', 'of', 'masala', 'dosaa']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'I-FOOD']"
i need small vada with extra spicy chutni,"['i', 'need', 'small', 'vada', 'with', 'extra', 'spicy', 'chutni']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 2 dossas less oil,"['order', '2', 'dossas', 'less', 'oil']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send one idly with no onion,"['please', 'send', 'one', 'idly', 'with', 'no', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me 3 plates pooris with extra sabji,"['give', 'me', '3', 'plates', 'pooris', 'with', 'extra', 'sabji']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need 2 idly with more chutni,"['need', '2', 'idly', 'with', 'more', 'chutni']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one dosa no ghee extra sambar,"['order', 'one', 'dosa', 'no', 'ghee', 'extra', 'sambar']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send 3 idlis less spicy,"['send', '3', 'idlis', 'less', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plz give 1 plate pongal with extra chutni,"['plz', 'give', '1', 'plate', 'pongal', 'with', 'extra', 'chutni']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want 2 dossas no onion,"['i', 'want', '2', 'dossas', 'no', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me small vada with extra chutney,"['give', 'me', 'small', 'vada', 'with', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one plate idly and extra ghee,"['order', 'one', 'plate', 'idly', 'and', 'extra', 'ghee']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need 3 poori with less oil,"['need', '3', 'poori', 'with', 'less', 'oil']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send 2 idlys with extra spicy chutni,"['send', '2', 'idlys', 'with', 'extra', 'spicy', 'chutni']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plz order one plate masala dosa no ghee,"['plz', 'order', 'one', 'plate', 'masala', 'dosa', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want extra chutney and 2 idly,"['want', 'extra', 'chutney', 'and', '2', 'idly']","['O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-QUANTITY', 'B-FOOD']"
give me 3 plates dosa with less oil,"['give', 'me', '3', 'plates', 'dosa', 'with', 'less', 'oil']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one poori extra spicy,"['order', 'one', 'poori', 'extra', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need 2 idli with extra sambar,"['need', '2', 'idli', 'with', 'extra', 'sambar']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send me one plate vada with no ghee,"['send', 'me', 'one', 'plate', 'vada', 'with', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 3 idlis less spicy,"['order', '3', 'idlis', 'less', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plz give one plate pongal extra ghee,"['plz', 'give', 'one', 'plate', 'pongal', 'extra', 'ghee']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want 2 dosa with extra chutney,"['i', 'want', '2', 'dosa', 'with', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me small vada with no onion,"['give', 'me', 'small', 'vada', 'with', 'no', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one idly with extra chutni,"['order', 'one', 'idly', 'with', 'extra', 'chutni']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need 3 poori less oil,"['need', '3', 'poori', 'less', 'oil']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plz send 2 masala dosas wit extra cheese,"['plz', 'send', '2', 'masala', 'dosas', 'wit', 'extra', 'cheese']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
can i have 1 idly with less spice,"['can', 'i', 'have', '1', 'idly', 'with', 'less', 'spice']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me 3 plate poori no onion,"['give', 'me', '3', 'plate', 'poori', 'no', 'onion']","['O', 'O', 'B-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 4 vada wth extra sambar,"['order', '4', 'vada', 'wth', 'extra', 'sambar']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 dosa no ghee pls,"['1', 'dosa', 'no', 'ghee', 'pls']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O']"
want 2 idli with less oil,"['want', '2', 'idli', 'with', 'less', 'oil']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send me a smal vada no chilly,"['send', 'me', 'a', 'smal', 'vada', 'no', 'chilly']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
pls add 3 masala dosa extra chutni,"['pls', 'add', '3', 'masala', 'dosa', 'extra', 'chutni']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1plate idly with no ginger,"['1plate', 'idly', 'with', 'no', 'ginger']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i need 4 dosaa less salt,"['i', 'need', '4', 'dosaa', 'less', 'salt']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two idlis and extra sambar,"['two', 'idlis', 'and', 'extra', 'sambar']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send 1 poori with extra oil,"['please', 'send', '1', 'poori', 'with', 'extra', 'oil']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
3 plates vada less spicy,"['3', 'plates', 'vada', 'less', 'spicy']","['B-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want one masaladosa with extra cheese,"['want', 'one', 'masaladosa', 'with', 'extra', 'cheese']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 idly with extra ghee,"['1', 'idly', 'with', 'extra', 'ghee']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 2 dossas no onion,"['order', '2', 'dossas', 'no', 'onion']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
3 idlies with little spicy,"['3', 'idlies', 'with', 'little', 'spicy']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send 1 plate poory extra chutni,"['send', '1', 'plate', 'poory', 'extra', 'chutni']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
2 vadais with less oil,"['2', 'vadais', 'with', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want 3 masala dossas pls,"['i', 'want', '3', 'masala', 'dossas', 'pls']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O']"
extra chutney and 2 idli,"['extra', 'chutney', 'and', '2', 'idli']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-QUANTITY', 'B-FOOD']"
1 plate poori with less salt,"['1', 'plate', 'poori', 'with', 'less', 'salt']","['B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send me 2 small idlis,"['send', 'me', '2', 'small', 'idlis']","['O', 'O', 'B-QUANTITY', 'B-QUANTITY', 'B-FOOD']"
want one masala dos with extra butter,"['want', 'one', 'masala', 'dos', 'with', 'extra', 'butter']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
pls send 3 idli with no ghee,"['pls', 'send', '3', 'idli', 'with', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
2 dosa extra spicy,"['2', 'dosa', 'extra', 'spicy']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 vada with less oil,"['1', 'vada', 'with', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 3 plates idlis with extra sambar,"['order', '3', 'plates', 'idlis', 'with', 'extra', 'sambar']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
pls send 1 masala dosa without onion,"['pls', 'send', '1', 'masala', 'dosa', 'without', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me 2 idli extra chutney,"['give', 'me', '2', 'idli', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 plate poori less oil,"['1', 'plate', 'poori', 'less', 'oil']","['B-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want 3 dosa with extra ghee,"['want', '3', 'dosa', 'with', 'extra', 'ghee']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
2 idli no onion,"['2', 'idli', 'no', 'onion']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
pls add 1 vada with less spicy,"['pls', 'add', '1', 'vada', 'with', 'less', 'spicy']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need 3 dosa extra butter,"['need', '3', 'dosa', 'extra', 'butter']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send 2 idli with extra sambar,"['send', '2', 'idli', 'with', 'extra', 'sambar']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
pls send one poori with less oil,"['pls', 'send', 'one', 'poori', 'with', 'less', 'oil']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 1 plate vada extra spicy,"['order', '1', 'plate', 'vada', 'extra', 'spicy']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want 2 idlies no ghee,"['want', '2', 'idlies', 'no', 'ghee']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me 3 masala dosa extra chutney,"['give', 'me', '3', 'masala', 'dosa', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get me 2 idlis no onion,"['get', 'me', '2', 'idlis', 'no', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 plate dosa less spicy,"['1', 'plate', 'dosa', 'less', 'spicy']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three vada extra chutni,"['three', 'vada', 'extra', 'chutni']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give pongal with no ghee,"['give', 'pongal', 'with', 'no', 'ghee']","['O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want masla dosa no oil,"['i', 'want', 'masla', 'dosa', 'no', 'oil']","['O', 'O', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send 4 idlies extra chutney pls,"['send', '4', 'idlies', 'extra', 'chutney', 'pls']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O']"
get me poori without onion,"['get', 'me', 'poori', 'without', 'onion']","['O', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
just one plate pongal,"['just', 'one', 'plate', 'pongal']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD']"
2 dosas less oil more crispy,"['2', 'dosas', 'less', 'oil', 'more', 'crispy']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
pls 1 idli no ghee,"['pls', '1', 'idli', 'no', 'ghee']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one vada extra sambar,"['one', 'vada', 'extra', 'sambar']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring 3 idly wit no oil,"['bring', '3', 'idly', 'wit', 'no', 'oil']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want pongal with ghee,"['want', 'pongal', 'with', 'ghee']","['O', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
order 4 idlis wit spicy chutney,"['order', '4', 'idlis', 'wit', 'spicy', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i need two plates of idli,"['i', 'need', 'two', 'plates', 'of', 'idli']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD']"
get me dosa with extra sambhar,"['get', 'me', 'dosa', 'with', 'extra', 'sambhar']","['O', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send 3 masala dosa no onions,"['please', 'send', '3', 'masala', 'dosa', 'no', 'onions']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
4 idlis no ghee,"['4', 'idlis', 'no', 'ghee']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want 2 pooris less oil,"['i', 'want', '2', 'pooris', 'less', 'oil']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
dosa without spice,"['dosa', 'without', 'spice']","['B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 poori add extra chutney,"['1', 'poori', 'add', 'extra', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get me small idli,"['get', 'me', 'small', 'idli']","['O', 'O', 'B-QUANTITY', 'B-FOOD']"
add chutni for my dosa,"['add', 'chutni', 'for', 'my', 'dosa']","['O', 'B-CUSTOMIZATION', 'O', 'O', 'B-FOOD']"
need 5 idlis extra onion,"['need', '5', 'idlis', 'extra', 'onion']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
serve masala dosa no spicy,"['serve', 'masala', 'dosa', 'no', 'spicy']","['O', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring 2 idlis wit sambhar,"['bring', '2', 'idlis', 'wit', 'sambhar']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
get me idli less salt,"['get', 'me', 'idli', 'less', 'salt']","['O', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two vada no spice,"['two', 'vada', 'no', 'spice']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 masala dosaa xtra chutney,"['1', 'masala', 'dosaa', 'xtra', 'chutney']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need idli with onion,"['need', 'idli', 'with', 'onion']","['O', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
i want 5 poori no oil please,"['i', 'want', '5', 'poori', 'no', 'oil', 'please']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O']"
send me 3 idlis extra sambar,"['send', 'me', '3', 'idlis', 'extra', 'sambar']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
